county_fips,YEAR,SEX,AGE,unemployed,med_inc,pop
12009,2015,1.5157642965862144,53.542944118286584,2.5440313111545985,22600.0,483078.0
12009,2019,1.5138662316476346,54.992455138662315,2.0187601957585644,28300.0,512032.0
12011,2007,1.5277716308917901,47.509183447665414,3.6512502766098693,24000.0,1419359.0
12011,2011,1.526234023020973,48.08396299696349,7.485347080008474,20410.0,1459364.0
12011,2015,1.522311942201445,48.990012749681256,4.249893752656184,23500.0,1559357.0
12011,2019,1.5232353148579085,50.30011987871095,2.820675551794655,28600.0,1609753.0
12015,2007,1.5177809388335703,57.04765291607397,3.058321479374111,21150.0,133001.0
12015,2011,1.5292598967297764,56.86833046471601,5.593803786574871,18800.0,142530.0
12015,2015,1.5150130548302871,60.909921671018274,1.95822454308094,22000.0,155320.0
12015,2019,1.4937286202964652,59.85689851767389,1.5393386545039909,25450.0,170348.0
12017,2015,1.5251544571932922,57.632833186231245,3.265666372462489,18600.0,123988.0
12017,2019,1.5288239815526519,60.464258262874715,1.9984627209838586,21800.0,132006.0
12019,2007,1.526797385620915,46.59542483660131,3.3333333333333335,24850.0,144909.0
12019,2011,1.5341914722445695,47.58326629123089,6.838294448913917,21000.0,153052.0
12019,2015,1.5257410296411857,50.753510140405616,4.05616224648986,22850.0,163913.0
12019,2019,1.5222222222222221,49.09583333333333,2.5,28100.0,178012.0
12021,2007,1.5133508837908989,54.05866867243324,2.933433621662279,28600.0,262354.0
12021,2011,1.5327903986283755,54.844834976425204,4.843549078439778,22900.0,276158.0
12021,2015,1.5062026188835287,56.026878015161955,1.8952446588559615,26000.0,305029.0
12021,2019,1.5235099337748343,58.230132450331126,1.1920529801324504,32000.0,330746.0
12031,2015,1.5275922160906186,47.417804240487946,3.7757769387162363,24000.0,737838.0
12031,2019,1.5278344902681367,48.47502381924595,2.803865523342861,26500.0,774058.0
12033,2007,1.5049205147615443,45.487887963663894,4.655563966691901,18850.0,250396.0
12033,2011,1.500879352796342,47.84171649665846,5.768554344002814,17000.0,246580.0
12033,2015,1.5187637969094923,48.97902869757174,3.384841795437822,21050.0,257939.0
12033,2019,1.5202037351443123,49.38709677419355,2.5806451612903225,24400.0,261965.0
12053,2007,1.530027932960894,53.622206703910614,3.35195530726257,20052.0,141222.0
12053,2011,1.535450516986706,54.994091580502214,7.016248153618906,18000.0,146662.0
12053,2015,1.527810650887574,56.387573964497044,3.5502958579881656,19850.0,152385.0
12053,2019,1.5315649867374006,55.09867374005305,2.59946949602122,22000.0,163900.0
12057,2007,1.5274047547995624,45.73629762260022,4.0584900029841835,24000.0,932014.0
12057,2011,1.5298450596901194,45.98569130471594,6.510879688426044,20000.0,1023118.0
12057,2015,1.5245845760545378,46.76438005965062,4.022155943757989,23000.0,1090907.0
12057,2019,1.518675455116133,48.0258160703076,2.605147520401758,28000.0,1200311.0
12061,2015,1.5318559556786704,57.63342566943675,3.32409972299169,25400.0,126456.0
12061,2019,1.5427910562837317,60.01542020046261,1.7733230531996915,30000.0,140847.0
12069,2007,1.5134537412458533,51.95208256542573,2.469590858827866,21800.0,253708.0
12069,2011,1.5195007800312013,53.06708268330733,5.61622464898596,19100.0,249770.0
12071,2007,1.5168745414526779,52.47835656639765,3.319882611885547,24500.0,485787.0
12071,2011,1.517579250720461,53.53909702209414,6.532180595581172,20000.0,530161.0
12071,2015,1.5249675745784694,54.317769130998705,2.821011673151751,24000.0,594674.0
12071,2019,1.5188792328438718,56.29577464788732,1.977824393167516,30000.0,659300.0
12073,2015,1.5410551368504561,43.95398651328838,4.760015866719556,21000.0,241132.0
12073,2019,1.5415754923413567,44.93216630196937,3.683442742523705,26500.0,247750.0
12081,2007,1.529494382022472,52.55161516853933,2.9494382022471908,24000.0,258234.0
12081,2011,1.5258937520882059,52.55663214166388,6.548613431339794,20000.0,271915.0
12081,2015,1.5287206266318538,54.36912532637076,3.0026109660574414,22900.0,307049.0
12081,2019,1.524554269627776,55.14607444479199,2.283390678761339,29800.0,343747.0
12083,2007,1.5336232853797256,53.83405821344932,3.1448645031783204,19000.0,271738.0
12083,2011,1.528686946476704,51.63226800154024,7.162110127069695,15500.0,282493.0
12083,2015,1.5297670405522001,54.06816220880069,3.4081104400345126,18850.0,290375.0
12083,2019,1.5289936401047513,55.641975308641975,2.3943135054246163,21900.0,310032.0
12085,2007,1.5242647058823529,54.66323529411765,3.6764705882352944,25000.0,118042.0
12085,2011,1.4922752808988764,54.174157303370784,5.337078651685393,21400.0,127644.0
12085,2015,1.5134730538922156,55.81736526946108,2.095808383233533,24000.0,134190.0
12085,2019,1.5067043048694424,57.25546930134086,1.4114326040931546,30000.0,137588.0
12091,2007,1.5039322444041137,47.569267997580155,2.8433151845130067,25000.0,146190.0
12091,2011,1.4988571428571429,47.61828571428571,4.114285714285714,22000.0,149821.0
12091,2015,1.4903189066059226,47.978359908883824,3.2460136674259683,24200.0,161148.0
12091,2019,1.4992232004142931,48.89798032107716,1.7607457276022784,28600.0,171445.0
12095,2007,1.5131850493006191,43.59000229305205,3.8981884888786977,22000.0,845430.0
12095,2011,1.5117732861012712,45.08564284225881,7.095228172535944,18000.0,944655.0
12095,2015,1.5189589409916984,45.11532420910927,3.7693515817814673,20150.0,1046141.0
12095,2019,1.5182926829268293,46.105370132648694,2.471116816431322,25000.0,1137359.0
12097,2007,1.5228863758750673,44.295099623047925,3.12331717824448,20000.0,200041.0
12097,2011,1.5194723618090453,46.086683417085425,7.788944723618091,16000.0,217797.0
12097,2015,1.516164994425864,47.280936454849495,4.3478260869565215,18000.0,258406.0
12097,2019,1.5235173824130879,47.70040899795501,2.505112474437628,21600.0,301494.0
12099,2007,1.5266821345707657,51.47400532783364,3.0592076995789292,25000.0,1047164.0
12099,2011,1.5290292251038158,51.065815247198934,6.800908877223224,21000.0,1112879.0
12099,2015,1.5355885504362468,52.62941986836063,3.4976274299709167,25000.0,1196612.0
12099,2019,1.527517866352317,54.156708170632875,2.6449568997274,30000.0,1263630.0
12101,2007,1.5284896740482707,51.03956208011943,3.5829808410052255,21000.0,382090.0
12101,2011,1.528918692372171,51.56440346465493,6.845487566359318,18000.0,385623.0
12101,2015,1.5224685440383463,52.84621529858199,3.5749950069902137,21600.0,415427.0
12101,2019,1.5209186398433328,53.43243724408047,2.1007655332027775,25000.0,461711.0
12103,2007,1.5359056806002143,52.13266642848637,2.870072644992259,24000.0,780196.0
12103,2011,1.5333945141225656,52.811971041093095,5.842765371673295,21200.0,784675.0
12103,2015,1.5322879233366002,53.29042796471741,2.8966568659479472,25000.0,816830.0
12103,2019,1.5247756933115824,54.54475938009788,2.2940456769983686,29800.0,845863.0
