,Unnamed: 0,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STATEFIP,COUNTYFIP,STRATA,GQ,PERNUM,PERWT,SEX,AGE,EDUC,EDUCD,EMPSTAT,EMPSTATD,INCTOT,unemployed
9510714,9510714,2015,201501,964578,647021.0,75.0,2015009645781,39,0.0,150039,1,3,68.0,1,28,7,71,1,10,22500,0
11739802,11739802,2019,201901,563086,2019000151688.0,126.0,2019005630861,22,0.0,50022,1,1,127.0,1,82,7,71,3,30,12700,0
11181267,11181267,2019,201901,313932,2019000564158.0,209.0,2019003139321,12,11.0,111412,1,5,223.0,2,25,6,63,1,10,21000,0
7384015,7384015,2015,201501,36899,643436.0,85.0,2015000368991,4,13.0,12504,1,2,154.0,1,55,6,63,3,30,19500,0
9809300,9809300,2015,201501,1100673,494644.0,86.0,2015011006731,45,0.0,60445,4,1,86.0,2,27,10,101,1,10,26000,0
11801988,11801988,2019,201901,592265,2019000206745.0,76.0,2019005922651,24,510.0,80424,1,1,76.0,2,40,10,101,1,10,75000,0
3489089,3489089,2007,200701,1042778,407179.0,101.0,2007010427781,42,3.0,180342,1,1,102.0,1,88,2,24,3,30,30170,0
4889625,4889625,2011,201101,295508,618519.0,83.0,2011002955081,12,103.0,260812,1,2,81.0,2,81,8,81,3,30,3600,0
2222243,2222243,2007,200701,457040,79539.0,95.0,2007004570401,18,0.0,360018,1,2,98.0,2,39,6,62,1,10,21000,0
6009881,6009881,2011,201101,793961,1467803.0,39.0,2011007939611,34,23.0,90134,1,1,39.0,1,51,6,63,1,10,81000,0
5844403,5844403,2011,201101,722976,1239030.0,46.0,2011007229761,29,0.0,270029,1,3,36.0,1,25,7,71,1,10,5000,0
5356737,5356737,2011,201101,503445,297073.0,98.0,2011005034451,20,177.0,80020,1,4,71.0,2,16,5,50,3,30,0,0
5607516,5607516,2011,201101,616607,1457779.0,105.0,2011006166071,25,0.0,340025,1,2,102.0,2,62,11,115,1,10,451000,0
